City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tiksi,RU,71.6872,128.8694,3.49,91,94,7.72,overcast clouds
80,Kyshtovka,RU,56.555,76.6271,29.43,92,100,4.59,overcast clouds
81,New Norfolk,AU,-42.7826,147.0587,45.91,73,81,4.03,broken clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,73.36,97,96,3.0,overcast clouds
83,Salisbury,GB,51.0693,-1.7957,66.69,80,100,13.8,light rain
84,Rudnya,RU,54.947,31.0934,52.43,92,100,12.26,overcast clouds
85,Chabahar,IR,25.2919,60.643,80.01,72,0,7.96,clear sky
86,Juruti,BR,-2.1522,-56.0922,95.16,34,79,6.04,broken clouds
87,Vilhena,BR,-12.7406,-60.1458,80.82,69,75,5.75,broken clouds
88,Severo-Kurilsk,RU,50.6789,156.125,38.08,74,68,6.15,broken clouds
89,Jacobina,BR,-11.1806,-40.5183,89.42,38,98,7.65,overcast clouds
90,Vicksburg,US,32.3526,-90.8779,70.03,92,75,13.8,broken clouds
91,Bethel,US,41.3712,-73.414,56.55,53,0,3.44,clear sky
92,Monaghan,IE,54.25,-6.9667,59.4,88,100,15.35,overcast clouds
93,Northam,GB,51.0333,-4.2167,63.39,85,100,19.3,overcast clouds
94,Mitsamiouli,KM,-11.3847,43.2844,82.69,54,20,9.22,few clouds
95,Forbes,AU,-33.3833,148.0167,52.92,82,2,4.14,clear sky
96,Leningradskiy,RU,69.3833,178.4167,11.55,88,100,20.11,overcast clouds
97,Port Elizabeth,ZA,-33.918,25.5701,76.1,68,0,13.8,clear sky
98,Zhigansk,RU,66.7697,123.3711,-0.31,94,100,7.34,overcast clouds
99,Manaure,CO,11.7751,-72.4445,83.59,67,68,10.42,broken clouds
100,Ewa Beach,US,21.3156,-158.0072,77.09,84,0,4.61,clear sky
101,Huarmey,PE,-10.0681,-78.1522,67.06,73,91,9.19,overcast clouds
102,Ampanihy,MG,-24.7,44.75,70.05,76,74,16.31,broken clouds
103,Clyde River,CA,70.4692,-68.5914,10.63,79,100,10.36,snow
104,Piacabucu,BR,-10.4056,-36.4344,83.84,57,100,12.33,overcast clouds
105,Stryn,NO,61.9045,6.7226,52.52,97,100,2.98,overcast clouds
106,Thompson,CA,55.7435,-97.8558,30.36,80,20,4.61,few clouds
107,Yulara,AU,-25.2406,130.9889,67.84,94,40,6.91,scattered clouds
108,Saint-Pierre,RE,-21.3393,55.4781,74.88,69,75,6.91,broken clouds
109,Geraldton,AU,-28.7667,114.6,61.21,82,75,17.27,light intensity shower rain
110,La Fleche,FR,47.6982,-0.0755,72.93,53,66,11.3,broken clouds
111,Ugoofaaru,MV,5.6667,73.0,82.38,68,69,7.87,broken clouds
112,Esperance,AU,-33.8667,121.9,55.24,86,100,23.71,light rain
113,Kavieng,PG,-2.5744,150.7967,82.56,73,100,9.22,overcast clouds
114,Volchansk,RU,59.9378,60.081,30.69,90,100,5.77,overcast clouds
115,Vostok,RU,46.4856,135.8833,25.43,85,6,1.99,clear sky
116,Broken Hill,AU,-31.95,141.4333,62.65,45,89,7.96,overcast clouds
117,Faanui,PF,-16.4833,-151.75,78.8,80,28,15.26,light rain
118,Ancud,CL,-41.8697,-73.8203,49.69,64,87,18.14,light rain
119,Jinxiang,CN,27.4327,120.6062,64.69,79,1,13.04,clear sky
120,Georgetown,MY,5.4112,100.3354,82.24,91,40,4.61,moderate rain
121,Chuy,UY,-33.6971,-53.4616,81.73,39,4,11.23,clear sky
122,Mahebourg,MU,-20.4081,57.7,75.49,73,40,5.75,scattered clouds
123,Port-Gentil,GA,-0.7193,8.7815,82.36,78,40,8.05,scattered clouds
124,San Juan,AR,-31.5375,-68.5364,84.74,19,53,9.35,broken clouds
125,Kilindoni,TZ,-7.9139,39.6668,77.86,79,86,12.82,overcast clouds
126,Lorengau,PG,-2.0226,147.2712,81.81,78,100,6.11,overcast clouds
127,Shaping,CN,22.7545,112.9565,76.95,52,89,11.3,overcast clouds
128,Ashcroft,CA,50.7165,-121.2859,42.22,88,97,4.92,overcast clouds
129,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.38,93,100,7.9,moderate rain
130,Kijang,KR,35.2442,129.2139,55.13,69,94,9.71,overcast clouds
131,Salalah,OM,17.0151,54.0924,80.69,74,40,4.61,scattered clouds
132,Hithadhoo,MV,-0.6,73.0833,78.51,90,100,23.76,overcast clouds
133,Vanavara,RU,60.34,102.2797,24.35,85,90,8.86,overcast clouds
134,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,100,21.85,drizzle
135,Coahuayana,MX,18.7333,-103.6833,83.61,71,5,0.98,clear sky
136,Shingu,JP,33.7333,135.9833,51.33,77,10,6.78,clear sky
137,Minbu,MM,20.1833,94.8833,78.57,71,8,4.05,clear sky
138,Port Lincoln,AU,-34.7333,135.8667,56.16,69,100,15.59,light rain
139,Avarua,CK,-21.2078,-159.775,73.45,73,40,10.36,scattered clouds
140,Pangnirtung,CA,66.1451,-65.7125,26.6,46,20,5.75,few clouds
141,Namibe,AO,-15.1961,12.1522,75.83,83,75,0.0,broken clouds
142,Cabo San Lucas,MX,22.8909,-109.9124,78.51,68,82,0.2,broken clouds
143,Phonhong,LA,18.5007,102.4166,72.43,84,49,0.92,scattered clouds
144,Sokoto,NG,13.0609,5.239,92.79,16,0,9.6,clear sky
145,Kruisfontein,ZA,-34.0033,24.7314,72.88,54,100,8.86,overcast clouds
146,Kingman,US,35.1894,-114.053,60.55,25,0,8.05,clear sky
147,Mayo,US,38.8876,-76.5119,59.95,65,20,10.36,few clouds
148,Ust-Koksa,RU,50.2696,85.6108,23.49,67,6,1.23,clear sky
149,Fukue,JP,32.6881,128.8419,64.45,63,2,23.04,clear sky
150,Touros,BR,-5.1989,-35.4608,85.44,55,49,18.72,scattered clouds
151,Kalmar,SE,56.6616,16.3616,57.15,81,75,14.97,broken clouds
152,East London,ZA,-33.0153,27.9116,72.54,73,0,12.66,clear sky
153,Nelson Bay,AU,-32.7167,152.15,62.01,56,0,7.0,clear sky
154,Fairbanks,US,64.8378,-147.7164,10.92,81,0,8.05,clear sky
155,Dikson,RU,73.5069,80.5464,20.37,83,100,0.81,overcast clouds
156,Jalingo,NG,8.8833,11.3667,89.28,37,63,0.92,broken clouds
157,Abu Kamal,SY,34.4506,40.9171,74.23,28,100,2.04,overcast clouds
158,Sovetskaya Gavan,RU,48.9723,140.2878,34.48,75,15,5.59,few clouds
159,Bengkulu,ID,-3.8004,102.2655,75.79,91,75,5.14,broken clouds
160,Vila Velha,BR,-20.3297,-40.2925,91.35,69,20,10.36,few clouds
161,Aklavik,CA,68.2191,-135.0107,12.2,85,100,4.61,light snow
162,Verkhnyaya Inta,RU,65.9811,60.3094,26.64,80,98,8.59,overcast clouds
163,Bereda,ES,43.2686,-7.5406,60.42,99,100,5.53,overcast clouds
164,Porto Santo,PT,33.072,-16.3415,71.98,73,40,6.91,scattered clouds
165,Haines Junction,CA,60.7522,-137.5108,6.75,85,83,3.44,broken clouds
166,Narsaq,GL,60.9167,-46.05,30.42,85,46,7.11,scattered clouds
167,Sorland,NO,67.667,12.6934,40.86,58,100,29.35,overcast clouds
168,Axim,GH,4.8699,-2.2405,82.63,73,39,9.06,light rain
169,Watertown,US,42.3709,-71.1828,57.0,66,0,8.05,clear sky
170,Gat,IL,31.61,34.7642,79.39,100,0,9.06,clear sky
171,Oxford,GB,51.7522,-1.256,68.49,76,20,14.97,few clouds
172,Omaruru,NA,-21.4333,15.9333,88.27,10,5,23.06,clear sky
173,Omboue,GA,-1.5746,9.2618,80.83,73,88,7.47,overcast clouds
174,Lebu,CL,-37.6167,-73.65,55.42,96,100,13.71,overcast clouds
175,Greenwood,US,34.1668,-82.1165,58.28,81,100,13.8,overcast clouds
176,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,73,44,14.83,scattered clouds
177,Puro,PH,12.4841,123.3827,80.51,86,100,22.15,moderate rain
178,Boende,CD,-0.2167,20.8667,75.6,96,100,1.74,light rain
179,Norman Wells,CA,65.282,-126.8329,15.84,92,100,2.3,light snow
180,Cidreira,BR,-30.1811,-50.2056,80.71,63,8,6.17,clear sky
181,Vwawa,TZ,-9.1167,32.9333,77.61,26,96,8.77,overcast clouds
182,Rio Claro,BR,-22.4114,-47.5614,91.74,32,4,4.61,clear sky
183,Telimele,GN,10.9167,-13.3333,85.51,56,42,3.0,scattered clouds
184,Cherskiy,RU,68.75,161.3,-2.87,99,100,4.81,overcast clouds
185,Codrington,AU,-38.2667,141.9667,43.3,95,7,8.57,clear sky
186,Boyolangu,ID,-8.1181,111.8935,74.37,80,98,4.85,overcast clouds
187,Hofn,IS,64.2539,-15.2082,40.28,72,99,6.67,overcast clouds
188,Nishihara,JP,26.1842,127.7558,76.28,79,20,14.97,few clouds
189,Ravar,IR,31.2656,56.8055,73.38,19,4,4.76,clear sky
190,Mehamn,NO,71.0357,27.8492,39.11,93,75,24.16,broken clouds
191,Tilichiki,RU,60.4667,166.1,5.59,86,37,6.35,scattered clouds
192,Broome,US,42.2506,-75.833,55.6,61,0,3.0,clear sky
193,Atar,MR,20.5169,-13.0499,95.23,6,35,14.56,scattered clouds
194,Constitucion,CL,-35.3333,-72.4167,62.85,74,3,9.89,clear sky
195,Coari,BR,-4.085,-63.1414,73.53,98,100,3.65,overcast clouds
196,Taksimo,RU,56.3444,114.8794,18.99,87,100,0.83,overcast clouds
197,Wangaratta,AU,-36.3667,146.3333,51.48,89,80,1.57,broken clouds
198,Casper,US,42.8666,-106.3131,44.82,44,0,14.97,clear sky
199,Ketchikan,US,55.3422,-131.6461,45.07,87,100,16.11,moderate rain
200,Faya,SA,18.3851,42.4509,64.92,74,51,7.11,broken clouds
201,Dingle,PH,10.9995,122.6711,77.54,91,100,17.27,moderate rain
202,Lubumbashi,CD,-11.6609,27.4794,82.99,22,47,3.71,scattered clouds
203,San Patricio,US,28.017,-97.5169,66.07,54,0,12.48,clear sky
204,Sandy Bay,AU,-42.913,147.3532,46.29,78,45,5.75,scattered clouds
205,Moyale,KE,3.5167,39.0584,72.82,62,68,7.63,broken clouds
206,Viedma,AR,-40.8135,-62.9967,66.25,23,44,9.95,scattered clouds
207,Segezha,RU,63.7415,34.3222,47.25,94,100,20.31,light rain
208,Katsuura,JP,35.1333,140.3,59.02,63,39,12.84,scattered clouds
209,Panormos,GR,35.4182,24.6909,67.01,71,78,5.79,broken clouds
210,Goroka,PG,-6.0834,145.3873,58.21,93,99,1.03,overcast clouds
211,Luderitz,NA,-26.6481,15.1594,62.19,82,40,12.03,scattered clouds
212,Kipini,KE,-2.5257,40.5262,80.89,81,55,11.18,broken clouds
213,Bulgan,MN,48.8125,103.5347,28.4,93,83,3.4,broken clouds
214,Whitehorse,CA,60.7161,-135.0538,20.17,92,40,13.8,scattered clouds
215,Penzance,GB,50.1186,-5.5371,60.12,88,20,18.41,few clouds
216,General Roca,AR,-39.0333,-67.5833,70.63,32,91,37.2,light rain
217,Hilo,US,19.7297,-155.09,71.62,84,75,5.75,broken clouds
218,Tommot,RU,58.9564,126.2925,16.32,95,100,2.19,overcast clouds
219,Sur,OM,22.5667,59.5289,78.28,72,0,7.78,clear sky
220,Saint George,US,37.1041,-113.5841,52.43,39,0,0.0,clear sky
221,Nanyamba,TZ,-10.6833,39.8333,74.48,71,27,8.1,scattered clouds
222,Manokwari,ID,-0.8667,134.0833,79.39,80,82,5.32,broken clouds
223,Tecoanapa,MX,16.5167,-98.75,83.61,74,11,0.49,few clouds
