City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Ampanihy,MG,70.05,broken clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
104,Piacabucu,BR,83.84,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
105,Stryn,NO,52.52,overcast clouds,61.9045,6.7226,Visnes Hotel Stryn
107,Yulara,AU,67.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
108,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Alize Plage
109,Geraldton,AU,61.21,light intensity shower rain,-28.7667,114.6,Broadwater Mariner Resort
110,La Fleche,FR,72.93,broken clouds,47.6982,-0.0755,Le Relais Cicero
111,Ugoofaaru,MV,82.38,broken clouds,5.6667,73.0,Ungoofaaru Inn
112,Esperance,AU,55.24,light rain,-33.8667,121.9,Hospitality Esperance
113,Kavieng,PG,82.56,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
116,Broken Hill,AU,62.65,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
117,Faanui,PF,78.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
119,Jinxiang,CN,64.69,clear sky,27.4327,120.6062,Wolong Village
120,Georgetown,MY,82.24,moderate rain,5.4112,100.3354,Cititel Penang
121,Chuy,UY,81.73,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
122,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
123,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
124,San Juan,AR,84.74,broken clouds,-31.5375,-68.5364,Hotel Provincial
125,Kilindoni,TZ,77.86,overcast clouds,-7.9139,39.6668,Bustani B&B
126,Lorengau,PG,81.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
127,Shaping,CN,76.95,overcast clouds,22.7545,112.9565,Heshan Phoenix Hotel
129,Sao Miguel Do Araguaia,BR,73.38,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
130,Kijang,KR,55.13,overcast clouds,35.2442,129.2139,Samyang Beach Villa
131,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
132,Hithadhoo,MV,78.51,overcast clouds,-0.6,73.0833,Scoop Guest House
135,Coahuayana,MX,83.61,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
136,Shingu,JP,51.33,clear sky,33.7333,135.9833,Shingu UI Hotel
137,Minbu,MM,78.57,clear sky,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
138,Port Lincoln,AU,56.16,light rain,-34.7333,135.8667,Port Lincoln Hotel
139,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
141,Namibe,AO,75.83,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
142,Cabo San Lucas,MX,78.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
143,Phonhong,LA,72.43,scattered clouds,18.5007,102.4166,Manyvong Guest House
144,Sokoto,NG,92.79,clear sky,13.0609,5.239,Grand Ibro Hotel
145,Kruisfontein,ZA,72.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
146,Kingman,US,60.55,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
147,Mayo,US,59.95,few clouds,38.8876,-76.5119,Resorts Resource Group International
149,Fukue,JP,64.45,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
150,Touros,BR,85.44,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Kalmar,SE,57.15,broken clouds,56.6616,16.3616,First Hotel Witt
152,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
153,Nelson Bay,AU,62.01,clear sky,-32.7167,152.15,Mantra Nelson Bay
156,Jalingo,NG,89.28,broken clouds,8.8833,11.3667,Debright Motel
157,Abu Kamal,SY,74.23,overcast clouds,34.4506,40.9171,البوكمال
159,Bengkulu,ID,75.79,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
160,Vila Velha,BR,91.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
163,Bereda,ES,60.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
164,Porto Santo,PT,71.98,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
168,Axim,GH,82.63,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
169,Watertown,US,57.0,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
170,Gat,IL,79.39,clear sky,31.61,34.7642,OlusHome
171,Oxford,GB,68.49,few clouds,51.7522,-1.256,Malmaison Oxford
173,Omboue,GA,80.83,overcast clouds,-1.5746,9.2618,Hotel Olako
174,Lebu,CL,55.42,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
175,Greenwood,US,58.28,overcast clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
176,Sao Joao Da Barra,BR,87.89,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
177,Puro,PH,80.51,moderate rain,12.4841,123.3827,
